question_id,type,review_status,assignments_using,artifacts,content_preview
126,calc,published,0,兰 歧:为γ,"7. 一个单位质量的质点在数轴上运动?开始时质点在原点。处且速度为Vo ,在运
动过程中?它受到一个力的作用?这个力的大小与质点到原点的距离成正比(比例系数
ki > 0),而方向与初速度一致.又介质的阻力与速度成正比(比例系数k2 > 0).求反映
该质点的运动规律的函数.
-- Vo
解设数轴为z 轴'Vo 方向为"
172,calc,blocked,0,叫,"7. 用对数求导法求下列函数的导数:
( 1) y = ( 1 + 2x Y;
{j(x + 1)(1 - 2x).
(2) y =
(3x + 4)2
(3)俨 J叫xv'sIIlX."
178,calc,blocked,0,叫,"1. lτz
hm
- hm
=0.
z• 1-
1 - x• 1-
x - 1
(x - 1)2
= lim I 1 + cos ~ + 2 sin ~ - 1γ z→+∞飞 X X I
= e""'!~oo(cos ~+2副主- 1 )x = et~~+ cost+γnt-1
。2) x~~oo (c斗+叫)
r -"
182,calc,blocked,0,叫 灿,"2. 用换元积分法、分部积分法等计算不定积分
除了可以用不定积分的概念、性质和查积分表等方法计算一些简单的不定积分夕h计算不定积分的主要方法还有换元法和分部积分法.
第一类换元法 Inψ(
[ff[伊(
是不一致的.第一类换元法也称凑微分法关键在于“发现”被积函数的某个因子是另外
根式代换、指数代换等,将被积函数变得容"
184,calc,blocked,0,叫,"6. 用换元积分法、分部积分法等计算定积分
与不定积分类似,计算定积分的主要方法有换元积分法和分部积分法.换元积分法?本质上是通过变量代换7 将难以计算的定积分转化为容易计算的定积分?要注意的
148 第三章一元函数积分学
是:换元后要相应地改变积分限.分部积分法中认 U 的选择与不定积分中凯 U 的选择方法相同.特别"
188,calc,blocked,0,叫,11. 设函数 J(x) 在[α?叫上具有连续的二阶导数?试
190,calc,blocked,0,叫 灿,"2. 用换元积分法、分部积分法等计算不定积分
除了可以用不定积分的概念、性质和查积分表等方法计算一些简单的不定积分夕h计算不定积分的主要方法还有换元法和分部积分法.
第一类换元法 Inψ(
[ff[伊(
是不一致的.第一类换元法也称凑微分法关键在于“发现”被积函数的某个因子是另外
根式代换、指数代换等,将被积函数变得容"
191,calc,published,0,歧:工τ 阳,"1. 在下列各式等号右端的空白处填入合适的常数7 使得等式成立:
(1) dx =
d(2x 十 l);
问夫也= 时);
(3) xdx =
d(3x2 + 4);
( 4) e-2xdx =
d( e一2x + 3);
(冲x=
d伽Z 一 O
(6) sin(4x + 5)dx =
d[cos(4x + 5) +"
192,calc,published,0,叫 呻 歧:τ二 歧:τ否 歧:可υ,"2. 求下列不定积分:呻2叶 1问
(3) I 击产;
(S) Id沪;
时sec町X2°·~dx;叫乒wdx;(口) J~;dx;
叫s的dx;口5) J sin3 xco川;
叫tan3 xdx;
(8)乒~dx =斗d (Jf=X2).
叫户一5dx:任) Ix( 泸)3d
(6) I~号F由;
(8) I
J "
193,calc,published,0,叫,"1. 求下列不定积分:
时lnxdx;
叫 xe2xdx;
例 Jc川
叫州n2xdx;
叫xtan2xdx ;
(11) J 乓二dx;;
附 J (缸csinx)2
附 I e' G+叫 dx;
叫缸C叫x;
吵川x +俨dx;
(6) J (泸一川)叫dx;
(8) J xa叫“x;
。。) J ln(x +盯X"
196,calc,published,0,叫,"2. 利用定积分的几何意义求出下列积分:
叫(1+2x)dx;叫Ix - lldx;
叫~dx; 叫叫Z"
198,proof,published,0,叫 歧:ρ阳 阳,"4. 已知函数 f(x), g(x) 在区间[α?叫上连续,证明:
问若 f(x) 注 0, x ε [α, b], 且 f仲)dx = 0,则 f(x) 三 0, x ε [α, b];
(2) ~ f (x ) 注 g川巳川盯(x) ""¥= g(x), x E [a, b], 则 ρ阳>俨(x)dx."
199,calc,published,0,叫 歧:一ω,"2. 计算下列定积分:
叫 (x +~) dx;叫8 (衍+去) dx;
z d
z一碍
。
“-
6 4
n一ω
s-c
+一-
1iri
何一2 2 4
plllJ
qo
(4) 121 +叶 x2)1 x(l + x2)
z d
qu
、.,J
P t E E『『J
、‘,,,/
Fhu
f’E t飞
72 ZZ"
200,calc,published,0,叫 歧:叫ι,"1. 计算下列定积分:
叫(2♂+ 1)3dx;
(2) I
i
L1 (5 + 3x)2 叫号 sin2 x c叫Z; 叫si问x;叫cos
;
(6) f古dx;
叫ι2dx;
(8) f乒沪;
rv'2 ~2
(9) I ~ <lx· Ji (4 - x2 )~ (叫m一切;
(叫L扣五dx;
(12) r气x."
235,proof,published,0,歧:飞η,"t
)=
+…+ 叮川
3. 利用夹逼准则证明:
lim
l 一一一一+
川
n2 + nn /
n2 + 27t
η→∞飞η2 十7t
n"
237,proof,published,0,叫 歧:叫α,"6. 己知当z →0 时,u(x )与~(x )是等价无穷小7α (t)是当t →to 时的无穷小且
α (t)并0,证明:当t →to 时?也[α (t)]与叫α (t)]仍是等价无穷小."
238,proof,published,0,歧:叽η,"7. 设叽ηεN+,当z →0 时?证明高阶无穷小具有下列性质:
(1) o(xm) + o(xn) = o(xz), l =min {m, n};
(2) o(xm) · o(xn) = o(xm+n);
(3) o(kxn) = o (俨)(k 为非零常数).
l == min{m,吟,不妨设m >η (如果m <"
239,proof,published,0,兰 歧:η何 阳,"9. 验证函数f(x) = _!_sin 1 在x=O 的任一去心邻域内无界?但z →0 时函数
x
x
J (均不是无穷大.
先证明函数f(x) = _!_ si丑1 在x=O 的任一去心邻域内无界.
i正明
x
x
因为VM>O ,总3x0 =
1
啊?其中kεN 且k 注乒,使得
2阳+兰
m
I
7tl
何
M"
240,calc,published,0,歧:数α,"6. 己知函数J(x) = J b,
x=O ,是连续函数,求常数α ,b 的值.
x>O"
246,calc,published,5,歧:数α,"6. 己知曲线y = x2 +ax+ b 和U 二cx-x2 在(1,0)处有公共切线?求常数α ,b,c
的值."
248,calc,blocked,0,歧:径γ,"6. 扩音器的插头为圆柱形?截面半径γ 为0.15 cm,长度l 为4cm,为了提高它的
导电性?要在圆柱形插头表面镀上一层厚为0.001 cm 的纯铜,每个插头大约需要多少
克铜(铜的密度为8.9 g/cm3)?"
250,calc,published,18,兰 忐 札 歧:为α 歧:阳α 阳,"9. 一气球在距离观察员水平距离500m 处离开地面垂直上升?上升速度为140 m/min.
当气球高度为500m 时7 观察员视线的仰角的增加率是多少?
解设气球离开地面t min !§""高度为札仰角为α?则阳α =忐该式两边对t
求导?可得
.....
dα1 dh
sec-α 一一=一一一一
dt
500 dt'"
252,proof,blocked,0,歧:且ψ 歧:得ψ 歧:而ψ,"10. 若函数J(x)在[-1,2]上二阶可导?且J(-1) = !, f(O) = !, J(2) = ~'证
3
明:至少存在一点5ε (-1,2),使得f""(e) = i.
证明假设P(x♂
旷+α2x +α3 满足P←1) = ~' P(O
可得P(x) = ~x2 + ~x + ~·
令伊(x) = J(x)"
253,calc,published,1,叫 歧:τ吾,"3. 应用三阶泰勒公式求下列各数的近似值,并估计误差:
(1)矿30;
解叫=~τ吾=R,令J(x
拉格朗日余项的麦克劳林公式计算该近似值.
川忖)i=l +~x 十~ ~
其中帅)二;G -咐刊-3)οm
其中误差IR3(x)I
= 3
1.88 × 10-s."
254,calc,blocked,0,叫 咱,"4. 应用带有佩亚诺余项的麦克劳林公式计算下列极限:
o-
c-
e-
(2) ~出
z 一飞~x
Q
Z
咱
U
二
i
一
一
m
4z-4
qf-2
M
+
叫
+
+
+
e
内
O
Z7
Z
4
/
Z
1
O
\
f
q
A
1
飞
2
A
飞
1
咱
J
1
l
吐
为
。
、
J
哇
1
/
n
i
因"
257,calc,blocked,0,歧:十α 歧:得α 歧:数α,"5. 试确定常数α少?使极限lim
存在?并求出该极限.
z• O
x
1 +αcos 2x + bcos4x
z• O
解法
1
设lim
=A ,可得1 十α +b=O.
A
L俨
1 +αcos2x 十b cos4x
-2αsin 2x - 4b sin 4x
z• o
z• o
由于
lim
.
x4
4x3
"
258,proof,published,0,叫,"4. 设!(功,g(x)在区间[α ,b]上为恒正的可导函数?且f'(x)g(x) - f(x)g'(x) < 0,
(α 'b),有J(x)g(b) > f(b)g(x).
证明:对于任意的zε
f(x )
主
证明令F(x) =一一由题思知F(x )在[α ,b]上可导?且
g(x)'
!' ( x) g ( x)"
264,proof,published,0,叫 歧:值μ,"3 若非负函数只付足r: f (x)dx = 1,则利(忖概率密度函数设常数
c > 0,
Io,
x < o,
g(x )二〈
l ce-cx'
x 注0,
证明:g(x )是一个概率密度函数?并计算由下式定义的数值μ :
µ = J_+: xg(x)dx.
j二仰)dx = f= g(x)dx + L+= g(x)"
265,proof,published,0,歧:设ι,"3. 设ι =f tannxd
明:In =
证明当n~2 时占=f 旷xdx = f tann-2 x · tan2 xdx
=~
η,一
i
习题3.4"
266,calc,published,0,叫,"7. 解设x + 1 = t6 ,则rx丰l =沪,rx中1 = t2' dx = 6t5dt, t = rxτ1,于是
j 曰:阿dx=6 J 古叫王1<lt=6J%1dt
=6(J*dt 一j 击巾
=6 [J (t+l~t +与一叫11]
= 6 [J (t2 - t +忡忡11]
=2Vx+T-3rxτ1+6岁"
267,calc,published,0,歧:一τ,"dx 令
,N 二~=t ,则
8. 解
V x + 1
J (x + l)(x - 1)
{l'(x + 1)2(x - 1)4
1 + t3
_] --
6t2
, . f曰
x
1- t3 '一(1 - t3)2 ~v川~
。Ix+ 1
J (x ~ 山二1)
dx= I
I 1
J
1
{l'(x 十。2(x "
270,calc,blocked,0,歧:一α,"5. 如果函数f(x )在区间[α 'b]上连续7 通常称Jα
为函数f(x )在区间[α 'b]
b 一α
上的平均值.因此积分中值定理表明:连续函数f(x )在区间[α 'b]上可以取到f(x )在
区间忡,b]上的平均值,试利用定积分的几何意义计算f(x) = x 在区间[α 'b]上的平
均值.
,,
1 xa"
275,calc,published,0,歧:歹τ,"6. 有一立体?底面是长轴为2α、短轴为2b 的椭圆,而且垂直于长轴的截面都是等
边三角形?求其体积.
解不妨设椭圆方程为三十豆=1. 过z 轴上点z 作垂直于z 轴的截面,该截
b2
α2
d歹丁王五
十-
_,_千
2b· 0歹士豆、f3
面是边长为
的i匕二角形?其向为
·~,故截面面积为
αα
:
J3
J3b"
276,proof,published,0,叫,"7. 用元素法推证:由平面图形0 《αζzζ
b,
0 《
U 《
f(x )绕u 轴旋转所得的旋转体的体积为
V =叫矿(x)
Z 轴所围成的图形绕U 轴旋转所得的旋转体的体积.
[x,x + dx]上取柱壳体积如图3.19,其
证明在
x
底面圆周长为2即?厚度为dx ,高为J(x ). 则体积元
素dv = 2n"
279,calc,published,0,歧:即α 歧:度α,"3. 设单位质点在水平面内做直线运动?初速度vlt=O =Vo ,已知阻力与速度成正比
(比例系数为1),问t 为多少时此质点的速度为生?并求此时该质点经过的路程.
3
解设该单位质点在时刻t 的运动速度为v(t), m = 1 ,根据单位质点受力和牛顿
第二定律得F=mα =-v(t),即α =-v(t).
门们
又"
284,calc,published,0,叫,"1. 根据已知条件写出下列函数的表达式:
(1) f(x,y) = ~'求!(句:);
(2) J(x 一弘l叫=(1 一;)阱l~
xy + (; r x3 + y'
fY\2
解(1) f (句:)= xy. ~;) = -33l_.
(2)令x-y =矶lnx =飞则x=e飞y = ev -
u ,从而
f(u,"
285,calc,published,0,叫,"3. 求下列极限:
x - x2y + 3
x+'.lJ-4
(1)
(2)
lim
(x,y)•( 0,1) x2y3 + 3xy - y2;
lim
「工?
x +ν -2'
(x,y)•( 2,2)
lim 4.
ex si叫z 十2ν)
(3)
lim
(4)
x 十2y
;
(x,y)•( 0,0)
(x,y"
286,proof,published,0,忐 歧:τ一 阳,"一
4. 证明下列函数当
(x,y )→(0, 0)时极限不存在:
x3y
(1) f(x,y) =τ一τ ;
(2) f(x, y) =一一.
XO 十U“
川
lim A
k
证明(1)当(时)沿曲线y =时趋于(0,0)时?有
1 + k2'
(x,y )→(俨)xo 十y
显然忐随着k 的取值变化而变化?故所求"
290,calc,published,0,叫,"2. 求下列函数的一阶偏导数:
(2) z = se泸
(1) z= ~;
(3) z =忡+♂可言);
(4) z = xY · yx;
仲=foxy' e'' dt;
(6)包=a
(x 十3护
x2 +y2 一x · 2x
y2 一x2
一2二r;y
解(1) Zx =
一(x2 + y2)2'
Y 一(x2 +"
294,proof,published,0,歧:丑η,"8. 验证函数也(t, x) = e-kn2t sin nx 满足热传导方程Ut = kuxx·
证明因为向=-kn2e-kn2t sin nx ,问=ηe-kn2t COS nx, Uxx = -n2e-kn2t Si丑ηx,
所以Ut = kuxx ,即函数u(t, x) = e-巾12t sin nx 满足热传导"
298,calc,published,0,歧:为γ 歧:知γ,"5. 设有一圆锥体?其底面半径以0.1 cm/s 的速率在减少的同时高度以0.2 cm/s 的
速率也在减少?试求当底面半径为30 cm,高度为60cm 时其体积的变化率.
解设圆锥体的底面半径为γ?高为h ,体积为v ,则
V = ~nr2h ,
γ =r 肌
h = h (t)'
dV
dr
dh
2
dr
1
叮"
299,proof,published,0,叫 歧:一α,"6. 设函数f(x),g(x )具有连续的二阶导数?证明:函数u = J(s +αt)十g(s 一αt)
θ2uθ2u
满足波动方程一一=α2 一一.
θt2θs2
证明因为主=f' (s +at)α +内-at) C-a),所以
~=α2 (内叫)+内一at)),
at"
302,calc,published,1,叫,"x+y
2. 求函数z = arctan 一一当x = 1, y = 0 时的全微分-
x-y
解因为Zx =~,Zy =~,所以由
I c1,o)可
I c1,o) . d叫lc1,o) ·dy =
dy."
307,calc,blocked,0,叫,"7. 一圆柱体储水罐7 其底面半径为30 cm,高为60 cm,受热膨胀后其半径增加了
。.1 cm,高度增加了0.2cm,求该储水罐的容积增加值的近似值.
r, h, V ,则V =阶2h.
解设圆柱体储水罐的半径、高、容积依次为
因为瓦=2仰h ,凡二饨俨2 ,所以Vr I (30,60) = 3 600冗cm3,"
311,calc,published,0,兰 歧:如δ 阳,"3. 求下列方程所确定的隐函数的指定偏导数:
(1) z3 +阳二L 宗;
(2)什In(x+2y-z)=2 ~兰
7θzθy'
r2x
(4) 3z 十lnz = I e-t dt 一一
θ2z
(3) eY+z arctan(y - x) = 1
一一·
?θzθy ;
九?如δu
(1 )设F( x, y, z)"
314,calc,published,0,歧:τ三,"6. 设y = y(x), z = z(x )是由方程z=xf(x+y )和F(x,y,z)=O 所确定的隐函
数?其中f 和F 分别具有一阶连续的导数和偏导数7 求半
ax
解将所给方程的两边对z 求导并移项?得
-xf'(x + y )一旦+一=f(x + y) + xf'(x + y),
(巾
dz
dx
dx
"
318,proof,published,0,叫 咱 歧:切ν 歧:角α 阳,"4. 设平面上某金属板的电压分布为V( x, y) = x2 + xy + y2 ,在马(-1,1 )处:
(1)沿哪个方向电压升高得最快?此时上升的速率为多少?
(2)沿哪个方向电压下降得最快?此时下降的速率为多少?
(3)沿哪个方向电压变化得最慢?
解因为几l(-1,1) = (2x + Y)l(-1,1) = -"
319,proof,published,0,叫 歧:中η,"7. 设函数包(x,y), v(x,y)都具有连续偏导数?证明:
(1) \7(au + bv) =αVu+ b\7v ,其中矶b 为常数;
(2) \7(uv) = v\7u + u\7叫
!U\
VVU-UVV
(3) \7 ( ;-)工’
.
v2
(υ 并O);
(4) \7(uη ) = nun-1vu ,其"
322,calc,published,0,歧:一υ,"3 设f(x, y) =号+y2, 5Jt gradf(-2, 1),并用它来求等量线f(x, y) = 2 在点
(-2, 1)处的切线方程.在同一平面内画出f(x,y )的等量线、切线与梯度的草图.
解由f(x,y)二三+州?
y
Vf(-2, 1)
儿=~'
fy = 2弘
\1 !(一υ
故T=(2,l),
x"
333,calc,published,0,叫,"2. 求下列函数在约束方程下的最小值和最大值:
(1)川
(2) f(x, y, z) = 8x2 + 4yz - l6z + 600, 4x2 + y2 + 4z2 = 16.
解川L=3叫+λ (号十~ -1), *解方程组
Lx =3 +手=0,
Ly= -4 +号y= 0,
百十三=1,
由此得到
(x,y)的"
334,calc,blocked,0,咱 阳,"5. 平面内一矩形内接于椭圆主+笙二1 (其边平行于坐标轴)?求其面积的最
16
9
大值.
解设内接矩形在第一象限的顶点坐标为何'y ),则矩形面积A= 4xy, 0 < x < 4,
0 < y < 3.
令L=4xy +λ (三十豆-1 )求解方程组
9
J
。飞16
L甲=4υ +2λx
16
山
u
Ly ="
336,calc,published,0,歧:为α,"9. 试用本节中的两种方法求表面积为α2 的有盖长方体水箱的最大容积.
解设长方体水箱的长、宽、高分别为凯y ,矶则2xy+2yz+2xz =α2, V = xyz.
解法1
用条件极值."
337,calc,published,0,歧:积σ,"1. 利用二重积分的定义和性质,计算下列积分的值:
(1) ff 2dσ?其中D =川11ζzζ 口《Uζ4};
D
∞日♂可dσ7 其中D = {(x, y)lx2 + y2 运l}.
D
(1) D 的面积σ =4,因此由二重积分的几何意义可知7"
338,calc,published,0,歧:于ν 阳,"2. 设函数f(x,y )在D = {(x,y)IOζzζ1,0 《U 《2}上连续?且满足J(x, y) =
3 一ff f(x,y)dσ7 求f(x, y).
解设ff f(x,y)dσ =A ,则J(x,y)=3-A.
将上式左右两端在D 上积分得A= ff 川
D
A=2. 故f(x, y) = 1.
3 重积"
340,proof,published,0,阳,"7. 设D 为平面有界闭区域7 函数f(x,y )与g(x,y )都在D 上连续7 且g(x,y )在
D 上不变号,证明:存在阳)ε D ,使得ff f(x,y)g"
342,calc,published,0,叫,"1. 画出积分区域的草图7 并计算下列二重积分:
ω 川仙y3)d
D
;
问川同叫?其中D =川)|。以2,0 勺运2}
ω 川Z沂dx
D
但)川♂丁-;y问?其中D 是由直线Z 二1,俨O 与y=x 所围成的闭区域;
向ff y2si凸叫?其中D 是由z 轴与曲线y =吼叫0 《Z 《冗)所围成的闭
(6) ff"
345,calc,published,0,叫 歧:而α,"6. 现有一形如抛物面z = x2 +沂(0 运zζ10)的碗(单位:cm),你计划给碗刻上
刻度使其成为一个测量体积的容器对应2冗mL 的水刻度应该刻在什么地方?加mL
的水呢?
2冗=w
解设对应2冗mL 的水刻度应该刻在z =αcm 的地方?则
ldV= r叫飞d心z =子
从而α2 = 4 ,α =2.
若令于"
346,calc,published,0,叫 歧:言τ,"9. 选用适当的坐标计算下列三重积分:
问III 81Yld叫?其中。={(x, y, z)lx2 + y2 + z2ζ1};
。
阴历(y2 + z2)dxdy也其中。是由抛物面x =纠十z2 及圆锥面x=2-
n
d言τ万所围成的闭区域;
rrr
r2穴
r1
r~
解(1)川
elYldxdydz 二21
dψl"
347,calc,blocked,0,歧:二ζ 歧:当α,"10. (1) frj用三重积分计算椭胁。={ (x,y,z)I 二十二十二ζ 川c >巾
体积;
向当α 为何值时7 椭球体。=((川)|二+~+仨1 ,α >巾体积等于
87t."
348,calc,published,0,歧:在ο,"[2 为一任意空间有界闭区域问在什么样的。上三重积分历仙y2 十
11.
z2 -
4)dV 的值最小?并求出此最小值.
由重积分的性质?只有当被积函数♂2 + y2 + z2 一4 在ο 上小于等于零时7 三"
351,calc,published,0,歧:仇ν,"3. 设一线型工件占据空间曲线F 的位置,I' 的方程为〈ν =4sint, (0ζt 《2冗)?
z = 3t
其在任意点处的线密度为x2 +泸+z2 ,求该工件的质量.
解设所求工件的质量为M ,则
M= J 仇ν2 + z2)ds = 5 fo如何(
创2)d
I'
Ix= 1 - cos t ‘"
355,calc,published,0,歧:为γ 歧:当γ 歧:问γ,"4. 设E 为一确定球面x2 十y2 +z2 = R2(R 为正的常数)?另有一球心在Z 上、半
径为γ 的球面Ei
问γ 取何值时球面Ei 在球面Z 内部的那部分面积最大?
r x2 +ν2 + (z - R)2 =γ2
x2 十y2 + (z - R)2 =
z =
解取
Ei:
γ2. 由{
解得
l x2 + "
358,calc,published,0,叫 歧:一υ,"3. 计算下列第二类曲线积分:
(1) J arc叫句一仇其中L 为从点(1, 1)沿抛物线内2 到点(川的一段弧;
L
(2) f 问一勾)dx 十(x2 一位)dy,其中L 为圆周川2 = 9 (按顺时针方向);
L
例如l<lx+
I响其中L 为以川),B川及C山)为顶点的三角形的
L
边界(按逆时针方向);
["
359,calc,published,0,叫,"/
J
6. 设重力的方向与z 轴的反方向一致?求质量为m 的质点从位置(叫,Y1, z1 )沿
L
直线移动到
(x2, Y2 ,勾)时重力所做的功.
(xi, Y1, z1 )到点
解设从点
(x2, Y2, z2 )的有向线段为I' ,则
Ix= X1 + t (♂2 -
X1),
(t:O• 1).
I': <"
360,calc,published,0,叫 歧:与θ 歧:为α 歧:线θ 歧:若θ 歧:证θ,"1. 设D 是xOy 面上的有界闭区域?其边界曲线θD 由有限条光滑或分段光滑的
曲线所组成?如果向量值函数F = P(x, y)i + Q(x, y)j 在D 上具有连续偏导数.记”
为叫外法向量?那么称曲线积分f (F· 句川F 通过时向外侧的通量(或
θD
流量).试利用格林公式把上述曲线积分化为D 上的二重积分"
362,calc,published,0,叫 灿,"3. 利用格林公式7 计算下列第二类曲线积分:
(1) §
(2川十仰+(3x -y +帆其中L 为以川),B川及C叫)
L
为顶点的三角形的边界(按逆时针方向);
问j仙U灿时十y2向其中L 为圆环面1 ~ x2 + y2 《4 的正向边界;
L
阶J (x + e'in""
L
圆周y = y'f丁X2 到C(-1,"
363,proof,blocked,0,阳,"5. 证明下列曲线积分在整个xOy 面内与路径无关?并计算积分值:
ωι)川)出+川)dy;
仰I::~:
问L'~;)阳sy-y2 剖丑x)d♂+(2y…一x2 siny)dy ;
(4) rα,
J(o’o) l+(x+y)2'
(1)显然P(x,y) = 2x + y, Q (凯y) = x -"
365,proof,published,0,歧:τ一,"7. 验证微分方程(2x sin y - y2 sin x )dx + (2y cos x 十x2cosy)dy = 0 是全微分方
程?并求方程的通解.
证明设P = 2x sin y - y2 sin x, Q = 2y cos Z 十x2 cosy ,则
""'
""'
θQ
.θP
τ一=~xcosy -
~ysm"
369,calc,published,0,叫,"2. 计算下列第二类曲面积分:
问川(2 + z)dxdy, E 为平面x + 2y + 3z 二6 位于第I 卦限部分的上侧;
(2) ff xdydz+ydzdx +叫,E 为圆柱面川2 二1 位于平面z=O 与z=3
E
E
所截得的在第I 卦限部分的前侧;
z + ydzdx + zdxdy
汀
2
一
2
'"
370,calc,published,0,叫,"11
3. 计算曲面积分钟F(x, y, z) · dS,其中F (凯y,z) =
。
JJ
x~ +γ + z~
E
{(x, y, z)lx2 + y2ζ1, -1ζzζ1 }的整个外表面.
解令E1: x =ft习言?取前侧;E2: x =-ft丁Yi ,取后侧;马:户-1 ,取下
侧;E4: z = 1 ,取上"
371,calc,published,0,叫 歧:τ百 阳,"1. 利用高斯公式计算第二类曲面积分:
仰#xzdydz +山
E
成的四面体的整个边界曲面的夕阳U;
啡xdyd叫dzdx+zdxdy, E 为圆锥面z =♂τ百五与球面z = y2 - x2 -y2
E
所围成的立体的夕忖则表面;
向非川dydz+川zdxdy, E 为圆柱制(x,y,z)忡忡y2ζ 以Z 《3}
"
372,calc,published,0,叫 歧:川ω 阳,"F(x, y, z) · dS,其中F(x,y,z) =
2. 计算川
, ~
内
向
,E 为下半球面z=
一、/1- x2 一沪的上侧.
解令E1:z=O,x2+y2ζ1 ,取下侧?记曲面Z 与Ei 所围成的闭区域为。-
ff F(x,y, z) · dS = fJ xdydz 十(什1阳U
= fr xdy也十("
375,proof,published,0,叫 歧:δ冗,"4. 证明A=2xyz2i+(x2泸何os y )j+2x2yzk 为保守场?并计算曲线积分|
A·dr.
J (1,4,1)
证明因为
j
k
'/,
θ
θ I =O,
δ
rot A= I
az
δ冗
δu
2xyz2
2x2yz
x2z2 十cosy
所以A 为保守场.
flsk
--
n414
qA
Qd
A"
376,calc,published,0,叫 歧:一ρ,"10. 利用高斯公式推证阿基米德原理:浸没在液体中的物体所受的压力的合力(即
浮力)的方向铅直向上?大小等于此物体排开的液体受到的重力.
解取液面为xOy 面,
z 轴垂直向下?设液体密度为
ρ7 物体所占区域为。?在
物体表面Z 上取元素dS, (x, y, z )为dS 上的一点?并设Z’在点
(x,y,z )处的"
377,calc,published,0,歧:ζ叭 歧:一τ,"11. 在变力F(x, y, z) = yzi + zxj 十xyk 的作用下?质点由原点沿直线运动到椭球
x2
” 2
面一τ +仨+丁=1 上第I 卦限的点M(xo ,的?句),问点M 位于何处时?该力所做的
α“。““
功最大7 并求出此功的最大值.
Ix= xot,
解直线OM : < y = y0t, t :"
378,calc,published,0,咱 歧:在τ 歧:记α,"2. 根据级数收敛与发散的定义判别下列级数的敛散性?并求出其中收敛级数的和:
咱日-Jn);
咱也;
(3)) ~~
(4)汇
1
主:W I i)!;
解(1)记αη =〉在τ1-v瓦?则
Sn =α1 +α2+· ·+αη = (v'2-1) + (v'3- v'2) + .. + (v'n+l- Jn)
= v'"
